Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Order_Day,Pickup_Delay_Minutes,Is_Weekend,Is_Peak_Hour,Delivery_Speed_km_per_hr
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,2025-11-16 14:55:00,2025-11-16 15:05:00,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,6.242318682700942,14,Sunday,10.0,1,0,0.054281032023486456
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,2025-11-16 17:30:00,2025-11-16 17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,13.787860239172238,17,Friday,10.0,0,1,0.1313129546587832
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,2025-11-16 09:20:00,2025-11-16 09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,2.930257800762021,9,Sunday,10.0,1,0,0.02930257800762021
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,2025-11-16 19:50:00,2025-11-16 20:05:00,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,19.39661829066188,19,Monday,15.0,0,1,0.09461765019835064
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,2025-11-16 20:25:00,2025-11-16 20:35:00,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,13.763977224427299,20,Saturday,10.0,1,0,0.13763977224427298
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,2025-11-16 14:55:00,2025-11-16 15:10:00,Windy,High ,scooter ,Metropolitian ,33,Grocery,6.218001190187312,14,Tuesday,15.0,0,0,0.18842427849052462
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,2025-11-16 20:30:00,2025-11-16 20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,16.849939918016943,20,Wednesday,10.0,0,0,0.08424969959008471
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,2025-11-16 20:40:00,2025-11-16 20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,10.757108800258175,20,Sunday,10.0,1,0,0.052473701464674026
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,2025-11-16 21:15:00,2025-11-16 21:30:00,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,4.540574388730574,21,Tuesday,15.0,0,0,0.06054099184974099
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,2025-11-16 20:20:00,2025-11-16 20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,12.25607644546856,20,Wednesday,5.0,0,0,0.06808931358593645
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,2025-11-16 22:30:00,2025-11-16 22:45:00,Sandstorms,Low ,van,Metropolitian ,130,Books,19.61873934880106,22,Thursday,15.0,0,0,0.150913379606162
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,2025-11-16 08:15:00,2025-11-16 08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,1.5581322655562497,8,Friday,15.0,0,0,0.015581322655562497
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,2025-11-16 19:30:00,2025-11-16 19:45:00,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,20.18063511411397,19,Sunday,15.0,1,1,0.10349043648263574
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,2025-11-16 12:25:00,2025-11-16 12:30:00,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,6.116971669681921,12,Saturday,5.0,1,0,0.035982186292246594
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,2025-11-16 18:35:00,2025-11-16 18:50:00,Sunny,Medium ,van,Metropolitian ,75,Outdoors,17.075594401072465,18,Sunday,15.0,1,1,0.22767459201429954
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,2025-11-16 20:35:00,2025-11-16 20:40:00,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,4.47028648943395,20,Tuesday,5.0,0,0,0.04966984988259945
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,2025-11-16 23:20:00,2025-11-16 23:30:00,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,13.682044526080338,23,Saturday,10.0,1,0,0.07201076066358073
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,2025-11-16 21:20:00,2025-11-16 21:35:00,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,13.97318265391717,21,Wednesday,15.0,0,0,0.05946035171879647
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,2025-11-16 23:35:00,2025-11-16 23:45:00,Windy,Low ,van,Urban ,60,Jewelry,16.85361872985407,23,Saturday,10.0,1,0,0.28089364549756785
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,2025-11-16 22:35:00,2025-11-16 22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,4.674172124263596,22,Friday,15.0,0,0,0.03595517018664305
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,2025-11-16 22:35:00,2025-11-16 22:40:00,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,7.601616771071131,22,Saturday,5.0,1,0,0.06910560700973756
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,2025-11-16 23:25:00,2025-11-16 23:35:00,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,7.720324413180035,23,Friday,10.0,0,0,0.07352689917314319
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,2025-11-16 13:35:00,2025-11-16 13:40:00,Cloudy,High ,scooter ,Urban ,125,Shoes,6.1756362610176,13,Friday,5.0,0,0,0.049405090088140806
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,2025-11-16 21:35:00,2025-11-16 21:45:00,Stormy,Jam ,scooter ,Urban ,35,Grocery,17.29786575291325,21,Tuesday,10.0,0,0,0.4942247357975214
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,2025-11-16 22:35:00,2025-11-16 22:45:00,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,19.91468696554527,22,Saturday,10.0,1,0,0.1327645797703018
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,2025-11-16 18:55:00,2025-11-16 19:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,10.724517748045963,18,Tuesday,15.0,0,1,0.09749561589132694
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,2025-11-16 14:15:00,2025-11-16 14:25:00,Windy,High ,scooter ,Urban ,50,Toys,6.127835452843913,14,Sunday,10.0,1,0,0.12255670905687825
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,2025-11-16 11:00:00,2025-11-16 11:10:00,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,1.5203573134015247,11,Wednesday,10.0,0,0,0.01600376119370026
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,2025-11-16 09:45:00,2025-11-16 09:55:00,Sunny,Low ,scooter ,Urban ,55,Clothing,3.0734537599374083,9,Friday,10.0,0,0,0.05588097745340742
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,2025-11-16 08:40:00,2025-11-16 08:55:00,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,3.10513147754577,8,Monday,15.0,0,0,0.05645693595537764
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,2025-11-16 23:00:00,2025-11-16 23:10:00,Fog,Low ,motorcycle ,Metropolitian ,140,Books,10.86742683448041,23,Friday,10.0,0,0,0.07762447738914578
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,2025-11-16 17:25:00,2025-11-16 17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,10.865464603780305,17,Monday,5.0,0,1,0.3292565031448577
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,2025-11-16 19:45:00,2025-11-16 19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,13.682516298591963,19,Monday,5.0,0,1,0.05262506268689217
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,2025-11-16 19:10:00,2025-11-16 19:25:00,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,16.826241648658563,19,Tuesday,15.0,0,1,0.1529658331696233
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,2025-11-16 10:55:00,2025-11-16 11:00:00,Fog,Low ,scooter ,Urban ,16,Grocery,3.0272369309751475,10,Sunday,5.0,1,0,0.18920230818594672
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,2025-11-16 21:40:00,2025-11-16 21:45:00,Sunny,Jam ,van,Metropolitian ,55,Apparel,9.175193844437283,21,Thursday,5.0,0,0,0.16682170626249607
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,2025-11-16 19:00:00,2025-11-16 19:15:00,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,9.315069177421467,19,Saturday,15.0,1,1,0.07452055341937174
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,2025-11-16 16:45:00,2025-11-16 16:55:00,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,6.209021101535329,16,Wednesday,10.0,0,1,0.04776170078104099
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,2025-11-16 11:30:00,2025-11-16 11:40:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,1.5203447277394997,11,Saturday,10.0,1,0,0.01689271919710555
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,2025-11-16 15:10:00,2025-11-16 15:15:00,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,6.037225392444489,15,Sunday,5.0,1,0,0.0754653174055561
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,2025-11-16 22:45:00,2025-11-16 22:55:00,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,17.078665498349924,22,Friday,10.0,0,0,0.14851013476826022
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,2025-11-16 22:10:00,2025-11-16 22:25:00,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,4.717601092054723,22,Sunday,15.0,1,0,0.06290134789406297
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,2025-11-16 20:45:00,2025-11-16 20:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,12.464329297636855,20,Monday,10.0,0,0,0.06924627387576031
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,2025-11-16 22:50:00,2025-11-16 23:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,9.12142598198074,22,Saturday,15.0,1,0,0.11401782477475926
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,2025-11-16 17:55:00,2025-11-16 18:00:00,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,14.02323208308413,17,Thursday,5.0,0,1,0.14761296929562243
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,2025-11-16 22:45:00,2025-11-16 23:00:00,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,13.392612276663753,22,Monday,15.0,0,0,0.09920453538269447
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,2025-11-16 20:35:00,2025-11-16 20:50:00,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,12.58026782240096,20,Wednesday,15.0,0,0,0.051348031928167184
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,2025-11-16 09:25:00,2025-11-16 09:40:00,Windy,Low ,scooter ,Other,100,Shoes,1.4899271643867567,9,Saturday,15.0,1,0,0.014899271643867567
etss702593505,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,2025-11-16 20:15:00,2025-11-16 20:20:00,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,9.435201537430713,20,Sunday,5.0,1,0,0.06290134358287142
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,2025-11-16 22:25:00,2025-11-16 22:35:00,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,11.916582838287255,22,Tuesday,10.0,0,0,0.1324064759809695
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,2025-11-16 21:55:00,2025-11-16 22:00:00,Sunny,Jam ,scooter ,Metropolitian ,110,Books,4.663566689152346,21,Wednesday,5.0,0,0,0.04239606081047587
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,2025-11-16 22:40:00,2025-11-16 22:55:00,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,10.641157729337486,22,Saturday,15.0,1,0,0.06259504546669109
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,2025-11-16 23:50:00,2025-11-16 23:55:00,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,16.818368923733058,23,Thursday,5.0,0,0,0.14015307436444216
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,2025-11-16 15:25:00,2025-11-16 15:40:00,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,6.128551257918874,15,Thursday,15.0,0,0,0.0721006030343397
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,2025-11-16 10:20:00,2025-11-16 10:30:00,Sandstorms,Low ,van,Metropolitian ,70,Shoes,2.996250036666747,10,Tuesday,10.0,0,0,0.042803571952382095
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,2025-11-16 20:55:00,2025-11-16 21:00:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,7.342175722857832,20,Tuesday,5.0,0,0,0.04894783815238555
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,2025-11-16 10:40:00,2025-11-16 10:50:00,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,3.145067434621583,10,Monday,10.0,0,0,0.2096711623081055
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,2025-11-16 15:55:00,2025-11-16 16:05:00,Fog,Medium ,scooter ,Urban ,80,Apparel,6.290134677634678,15,Monday,10.0,0,0,0.07862668347043347
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,2025-11-16 20:10:00,2025-11-16 20:15:00,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,13.972123977178395,20,Wednesday,5.0,0,0,0.07762291098432442
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,2025-11-16 12:10:00,2025-11-16 12:15:00,Sunny,High ,scooter ,Urban ,90,Sports,6.0814407970077005,12,Thursday,5.0,0,0,0.06757156441119667
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,2025-11-16 15:30:00,2025-11-16 15:45:00,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,6.080891507841841,15,Tuesday,15.0,0,0,0.07153990009225696
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,2025-11-16 22:10:00,2025-11-16 22:15:00,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,12.58026782240096,22,Friday,5.0,0,0,0.1677369042986795
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,2025-11-16 10:35:00,2025-11-16 10:45:00,Fog,Low ,motorcycle ,Metropolitian ,85,Books,3.145067434621583,10,Wednesday,10.0,0,0,0.03700079334848921
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,2025-11-16 23:50:00,2025-11-16 00:05:00,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,9.220373067021596,23,Saturday,-1425.0,1,0,0.18440746134043193
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,2025-11-16 21:10:00,2025-11-16 21:25:00,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,7.8626681674103684,21,Friday,15.0,0,0,0.05824198642526199
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,2025-11-16 20:25:00,2025-11-16 20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,13.969606427684226,20,Saturday,15.0,1,0,0.07551138609559041
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,2025-11-16 20:50:00,2025-11-16 21:00:00,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,13.97320677313832,20,Tuesday,10.0,0,0,0.06351457624153782
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,2025-11-16 12:35:00,2025-11-16 12:45:00,Windy,High ,van,Metropolitian ,140,Snacks,6.058853851668898,12,Saturday,10.0,1,0,0.0432775275119207
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,2025-11-16 21:00:00,2025-11-16 21:15:00,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,17.07799287216156,21,Thursday,15.0,0,0,0.08132377558172171
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,2025-11-16 23:40:00,2025-11-16 23:55:00,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,17.29786575291325,23,Wednesday,15.0,0,0,0.13838292602330599
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,2025-11-16 18:15:00,2025-11-16 18:20:00,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,17.07287190639919,18,Sunday,5.0,1,1,0.08755318926358559
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,2025-11-16 18:20:00,2025-11-16 18:25:00,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,16.818368923733058,18,Sunday,5.0,1,1,0.16818368923733057
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,2025-11-16 11:45:00,2025-11-16 11:50:00,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,2.9795028505763823,11,Thursday,5.0,0,0,0.01922259903597666
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,2025-11-16 20:45:00,2025-11-16 20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,9.22086597503729,20,Wednesday,10.0,0,0,0.14185947653903522
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,2025-11-16 21:55:00,2025-11-16 22:10:00,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,7.66133113422064,21,Thursday,15.0,0,0,0.05472379381586171
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,2025-11-16 12:45:00,2025-11-16 12:50:00,Windy,High ,scooter ,Urban ,95,Snacks,6.175516093406556,12,Tuesday,5.0,0,0,0.06500543256217428
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,2025-11-16 23:30:00,2025-11-16 23:45:00,Fog,Low ,motorcycle ,Urban ,210,Kitchen,12.209856560906877,23,Friday,15.0,0,0,0.058142174099556555
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,2025-11-16 10:50:00,2025-11-16 10:55:00,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,1.5526813140975844,10,Tuesday,5.0,0,0,0.01350157664432682
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,2025-11-16 21:25:00,2025-11-16 21:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,16.902806732498597,21,Wednesday,15.0,0,0,0.08668106016665947
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,2025-11-16 10:10:00,2025-11-16 10:20:00,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,1.5093577696342253,10,Friday,10.0,0,0,0.012074862157073802
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,2025-11-16 23:00:00,2025-11-16 23:05:00,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,6048.631240095335,23,Wednesday,5.0,0,0,80.64841653460446
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,2025-11-16 08:40:00,2025-11-16 08:55:00,Cloudy,Low ,scooter ,Urban ,75,Books,3.0251186390180176,8,Friday,15.0,0,0,0.0403349151869069
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,2025-11-16 17:50:00,2025-11-16 17:55:00,Sunny,Medium ,van,Metropolitian ,75,Home,13.407092693002163,17,Monday,5.0,0,1,0.17876123590669551
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,2025-11-16 20:25:00,2025-11-16 20:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,16.721976048741656,20,Friday,15.0,0,0,0.22295968064988875
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,2025-11-16 22:20:00,2025-11-16 22:25:00,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,7.772343594464188,22,Friday,5.0,0,0,0.08635937327182432
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,2025-11-16 23:40:00,2025-11-16 23:50:00,Sandstorms,Low ,van,Metropolitian ,145,Clothing,13.773737657079213,23,Monday,10.0,0,0,0.09499129418675319
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,2025-11-16 23:25:00,2025-11-16 23:30:00,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,7.790158927085036,23,Friday,5.0,0,0,0.07790158927085036
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,2025-11-16 12:40:00,2025-11-16 12:55:00,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,6.217834398579603,12,Sunday,15.0,1,0,0.03188633024912617
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,2025-11-16 23:30:00,2025-11-16 23:45:00,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,16.852834881459735,23,Friday,15.0,0,0,0.17739826191010247
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,2025-11-16 23:55:00,2025-11-16 00:10:00,Cloudy,Low ,scooter ,Urban ,19,Grocery,4.610035602261126,23,Saturday,-1425.0,1,0,0.2426334527505856
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,2025-11-16 22:50:00,2025-11-16 23:00:00,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,19.87987067737402,22,Wednesday,10.0,0,0,0.23388083149851788
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,2025-11-16 10:25:00,2025-11-16 10:40:00,Stormy,Low ,motorcycle ,Urban ,75,Books,1.5580833985943423,10,Tuesday,15.0,0,0,0.02077444531459123
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,2025-11-16 08:45:00,2025-11-16 09:00:00,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,3.0253327061731827,8,Tuesday,15.0,0,0,0.03184560743340192
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,2025-11-16 21:25:00,2025-11-16 21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,13.971948960174704,21,Friday,15.0,0,0,0.09635826869086002
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,2025-11-16 22:35:00,2025-11-16 22:40:00,Cloudy,Low ,scooter ,Urban ,110,Jewelry,16.830905551931515,22,Friday,5.0,0,0,0.1530082322902865
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,2025-11-16 20:10:00,2025-11-16 20:20:00,Fog,Jam ,scooter ,Metropolitian ,210,Books,20.20779793335838,20,Wednesday,10.0,0,0,0.09622760920646847
